feature,selected,ensemble_votes
HighBP,True,4
HighChol,True,4
CholCheck,True,4
BMI,True,4
Smoker,True,4
Stroke,True,4
HeartDiseaseorAttack,True,4
PhysActivity,True,4
Fruits,True,4
Veggies,True,4
HvyAlcoholConsump,True,4
AnyHealthcare,True,4
NoDocbcCost,True,4
GenHlth,True,4
MentHlth,True,4
PhysHlth,True,4
DiffWalk,True,4
Sex,True,4
Age,True,4
Education,True,4
Income,True,4
BMI_category,True,4
Age_group,True,4
metabolic_risk,True,4
lifestyle_risk,True,4
healthy_habits,True,4
age_bmi_interaction,True,4
